Step,Loss
0,16
1000000,6.009314393997192
2000000,2.8796992629766462
3000000,1.9237799286842345
4000000,1.334644690155983
5000000,1.1172351747751237
6000000,0.9735128074884415
7000000,0.8836396932601929
8000000,0.8014956504106522
9000000,0.7494829148054123
10000000,0.7022380828857422
11000000,0.6664092421531678
12000000,0.6460303276777267
13000000,0.625244277715683
14000000,0.6118410617113114
15000000,0.5975664645433426
16000000,0.5934708744287491
17000000,0.5822337716817856
18000000,0.5758989781141282
19000000,0.5647425949573517
20000000,0.5584699928760528
21000000,0.5547754973173141
22000000,0.5519336730241775
23000000,0.5475207805633545
24000000,0.5440983295440673
25000000,0.5370778918266297
26000000,0.5379772841930389
27000000,0.5330931603908539
28000000,0.530886635184288
29000000,0.5281178712844848
30000000,0.5266370326280594
31000000,0.5264513254165649
32000000,0.5225844919681549
33000000,0.5198459029197693
34000000,0.5188214480876923
35000000,0.5201434135437012
36000000,0.5166014641523361
37000000,0.5147382095456123
38000000,0.5133534014225006
39000000,0.5123104557394982
40000000,0.5171514093875885
